video_url,my_description,weekday
https://youtu.be/XSLQDL2qw3w?si=BW0g7iOE1xthIbFt,,2
https://youtu.be/flUvBTJjziY?si=D7PG_f7hKYNfhuKJ,,3
https://youtu.be/v65AlseLhms?si=0Tx5WSBwrm6wAkOd,,4
https://youtu.be/4fvtta63Dd4?si=9xU2zsDA-HKjD87J,,5
https://youtu.be/m4lmcIn97Kw?si=HYjXZ1S00JsOl0pO,,6
https://youtu.be/1uF_9FtXt5A?si=N8pW3YVYYYatsMdx,,7
https://youtu.be/gg6_NDl5pWk?si=IZgVKmMW5L3FTCTQ,,1
https://youtu.be/_Ucr9CEIEyI?si=hvgKLMID5sQLBirl,,2
https://youtu.be/05iYbEIR79A?si=s0p9NPt-I1B3sVAc,,3
https://youtu.be/DtUu5nRAy2o?si=cmAi47P5HA_AXXv7,,4
https://youtu.be/_lcY1NQ27ZU?si=RK8IF2mks9Ij4VGv,,5
https://youtu.be/vSNo84ISMTQ?si=64GFrx4OZZA0JG5S,,6
https://youtu.be/RsMmgSqYGWg?si=XpWWJxVw6I0n0jRn,,7
